name,code,begin_date,end_date,parent_committee_id,member_id
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,B001230
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,B001230
"Science, Oceans, Fisheries, and Weather",SSCM30,2019-01-24,2021-01-03,SSCM,B001230
Transportation and Safety,SSCM32,2019-01-24,2021-01-03,SSCM,B001230
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2021-01-03,SSAP,B001230
Defense,SSAP02,,2021-01-03,SSAP,B001230
Homeland Security,SSAP14,,2021-01-03,SSAP,B001230
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2021-01-03,SSAP,B001230
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2021-01-03,SSAP,B001230
Employment and Workplace Safety,SSHR11,,2021-01-03,SSHR,B001230
Primary Health and Retirement Security,SSHR12,,2021-01-03,SSHR,B001230
"Public Lands, Forests, and Mining",SSEG03,2019-02-05,2021-01-03,SSEG,B001261
National Parks,SSEG04,2019-02-05,2021-01-03,SSEG,B001261
Water and Power,SSEG07,2019-02-05,2021-01-03,SSEG,B001261
Europe and Regional Security Cooperation,SSFR01,,2021-01-03,SSFR,B001261
"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR06,,2021-01-03,SSFR,B001261
Transportation and Infrastructure,SSEV08,,2021-01-03,SSEV,B001261
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2021-01-03,SSFR,B001261
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2021-01-03,SSEV,B001261
"Clean Air, Climate, and Nuclear Safety",SSEV10,,2021-01-03,SSEV,B001261
"Fisheries, Water, and Wildlife",SSEV15,,2021-01-03,SSEV,B001261
Taxation and IRS Oversight,SSFI11,2019-01-31,2021-01-03,SSFI,B001267
"Energy, Natural Resources, and Infrastructure",SSFI12,2019-01-31,2021-01-03,SSFI,B001267
"Social Security, Pensions, and Family Policy",SSFI02,2019-01-31,2021-01-03,SSFI,B001267
"Commodities, Risk Management, and Trade",SSAF13,,2021-01-03,SSAF,B001267
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2021-01-03,SSAF,B001267
Rural Development and Energy,SSAF15,,2021-01-03,SSAF,B001267
"Communications, Technology, Innovation, and the Internet",SSCM26,2019-01-24,2021-01-03,SSCM,B001243
Aviation and Space,SSCM28,2019-01-24,2021-01-03,SSCM,B001243
"Manufacturing, Trade, and Consumer Protection",SSCM29,2019-01-24,2021-01-03,SSCM,B001243
Security,SSCM31,,2021-01-03,SSCM,B001243
Intellectual Property,SSJU26,,2021-01-03,SSJU,B001243
