name,code,begin_date,end_date,parent_committee_id,member_id
Energy and Water Development,SSAP22,,2023-01-03,SSAP,B001230
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2023-01-03,SSAP,B001230
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2023-01-03,SSAP,B001230
Defense,SSAP02,,2023-01-03,SSAP,B001230
Homeland Security,SSAP14,,2023-01-03,SSAP,B001230
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2023-01-03,SSAP,B001230
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2023-01-03,SSAP,B000575
"State, Foreign Operations, and Related Programs",SSAP20,,2023-01-03,SSAP,B000575
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2023-01-03,SSAP,B000575
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2023-01-03,SSAP,B000575
Defense,SSAP02,,2023-01-03,SSAP,B000575
"Interior, Environment, and Related Agencies",SSAP17,,2023-01-03,SSAP,B000575
Financial Services and General Government,SSAP23,,2023-01-03,SSAP,B001236
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2023-01-03,SSAP,B001236
"State, Foreign Operations, and Related Programs",SSAP20,,2023-01-03,SSAP,B001236
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2023-01-03,SSAP,B001236
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2023-01-03,SSAP,B001236
Defense,SSAP02,,2023-01-03,SSAP,B001236
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2023-01-03,SSAP,B001310
Legislative Branch,SSAP08,,2023-01-03,SSAP,B001310
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2023-01-03,SSAP,B001310
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2023-01-03,SSAP,B001310
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2023-01-03,SSAP,B001310
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2023-01-03,SSAP,C001047
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2023-01-03,SSAP,C001047
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2023-01-03,SSAP,C001047
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2023-01-03,SSAP,C001047
Homeland Security,SSAP14,,2023-01-03,SSAP,C001047
"Interior, Environment, and Related Agencies",SSAP17,,2023-01-03,SSAP,C001047
Government Operations and Border Management,SSGA22,,2023-01-03,SSGA,C000174
Permanent Subcommittee on Investigations,SSGA01,,2023-01-03,SSGA,C000174
Energy and Water Development,SSAP22,,2023-01-03,SSAP,C001035
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2023-01-03,SSAP,C001035
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2023-01-03,SSAP,C001035
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2023-01-03,SSAP,C001035
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2023-01-03,SSAP,C001035
Defense,SSAP02,,2023-01-03,SSAP,C001035
Energy and Water Development,SSAP22,,2023-01-03,SSAP,C001088
Financial Services and General Government,SSAP23,,2023-01-03,SSAP,C001088
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2023-01-03,SSAP,C001088
"State, Foreign Operations, and Related Programs",SSAP20,,2023-01-03,SSAP,C001088
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2023-01-03,SSAP,C001088
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2023-01-03,SSAP,C001088
Energy and Water Development,SSAP22,,2023-01-03,SSAP,D000563
Financial Services and General Government,SSAP23,,2023-01-03,SSAP,D000563
"State, Foreign Operations, and Related Programs",SSAP20,,2023-01-03,SSAP,D000563
